,Temp,Lat,Humid,Cloud,Wind
abaza,17.43,52.65,94.0,92.0,1.52
abu samrah,19.53,35.3,96.0,24.0,3.42
abu zabad,20.83,12.35,97.0,88.0,2.77
acatic,22.0,20.78,64.0,75.0,2.1
aconibe,19.68,1.29,98.0,92.0,1.32
adrar,36.0,27.87,20.0,88.0,2.6
ahipara,13.68,-35.17,100.0,92.0,7.77
airai,27.43,-8.93,48.0,0.0,0.52
ajdabiya,22.23,30.75,90.0,0.0,3.22
aklavik,17.0,68.22,55.0,75.0,1.0
aksay,13.93,47.27,49.0,0.0,3.52
albany,19.54,42.65,60.0,90.0,1.47
aleksandrovskoye,17.73,56.74,71.0,12.0,1.92
alice,29.7,27.75,70.0,1.0,6.2
alice springs,15.0,-23.7,24.0,0.0,5.1
alindao,20.48,5.04,97.0,80.0,1.87
aljezur,19.33,37.31,90.0,0.0,0.57
alofi,26.0,-19.06,65.0,92.0,7.2
ambunti,30.23,-4.22,72.0,20.0,0.72
ampanihy,12.73,-24.69,83.0,0.0,1.32
amvrosiyivka,12.28,47.79,51.0,0.0,2.82
anadyr,14.0,64.73,76.0,90.0,8.0
ancud,1.53,-41.87,85.0,0.0,2.77
andapa,16.58,-14.66,98.0,92.0,1.97
andros town,29.0,24.73,79.0,75.0,2.6
antofagasta,14.0,-23.65,76.0,90.0,1.0
apiai,12.83,-24.51,91.0,8.0,0.72
arandas,16.18,20.71,94.0,56.0,2.07
arraial do cabo,20.0,-22.97,88.0,20.0,4.1
artigas,6.58,-30.4,89.0,32.0,7.22
arzgir,14.18,45.37,53.0,0.0,4.02
atuona,25.58,-9.8,100.0,0.0,6.72
auki,22.33,12.18,97.0,92.0,3.52
avarua,23.0,-21.21,69.0,40.0,6.2
awbari,30.13,26.59,31.0,32.0,3.02
axim,24.78,4.87,99.0,92.0,6.12
ayan,5.98,40.67,86.0,0.0,0.97
baghdad,30.0,33.3,35.0,0.0,4.6
bairnsdale,10.58,-37.83,78.0,76.0,3.57
bajil,12.48,38.23,91.0,0.0,0.97
ballarpur,22.68,19.85,98.0,100.0,5.92
bambous virieux,21.0,-20.34,88.0,75.0,7.7
banda aceh,26.93,5.56,82.0,80.0,1.37
bandar,31.38,-4.2,53.0,0.0,3.42
bandrele,21.0,-12.91,94.0,0.0,1.5
bang saphan,27.0,11.21,94.0,75.0,2.1
bani walid,19.58,31.76,87.0,0.0,1.37
barrow,4.63,-38.31,68.0,44.0,2.42
baruun-urt,17.53,46.68,78.0,88.0,5.82
basco,24.41,40.33,78.0,1.0,5.7
batagay,17.73,67.65,68.0,12.0,2.67
batagay-alyta,17.73,67.8,69.0,0.0,2.32
bathsheba,27.0,13.22,83.0,20.0,7.7
baykit,14.13,61.68,90.0,68.0,2.42
belaya gora,10.58,68.54,68.0,0.0,4.02
belmonte,18.18,40.36,62.0,0.0,1.77
belyy yar,19.0,53.6,77.0,0.0,1.0
bereda,16.0,43.27,93.0,24.0,1.12
berlevag,9.58,70.86,100.0,92.0,3.42
bethel,16.0,60.79,82.0,90.0,4.1
beyneu,19.08,45.32,74.0,56.0,5.07
biak,27.38,-0.91,83.0,20.0,3.17
bijie,25.73,27.3,84.0,0.0,1.47
bikaner,29.53,28.02,87.0,8.0,2.57
bilibino,3.88,68.06,75.0,76.0,1.42
bilma,23.03,18.69,34.0,0.0,1.62
biltine,21.68,14.53,80.0,8.0,2.77
bimbo,21.0,4.33,100.0,40.0,1.0
bluff,18.43,-23.58,18.0,0.0,5.52
boueni,21.0,-12.9,94.0,0.0,1.5
bredasdorp,11.0,-34.53,87.0,92.0,1.0
brigantine,21.01,39.41,100.0,90.0,6.2
brookhaven,19.99,40.78,60.0,75.0,6.7
broome,17.0,52.47,93.0,0.0,1.0
bubaque,23.33,11.28,100.0,92.0,1.62
buchanan,24.0,5.88,94.0,75.0,9.8
bulgan,16.23,48.81,80.0,0.0,1.62
buraydah,26.0,26.33,36.0,0.0,2.1
busselton,18.43,-33.64,87.0,44.0,2.67
butaritari,27.23,3.07,100.0,92.0,1.72
cabatuan,28.08,16.95,100.0,24.0,1.57
cabedelo,23.0,-6.97,88.0,75.0,2.6
cabiraoan,27.03,18.32,100.0,76.0,4.12
cabo san lucas,29.16,22.89,78.0,5.0,5.7
cabot,26.23,34.97,83.0,90.0,4.1
calvinia,1.58,-31.47,90.0,80.0,1.22
camacha,21.0,33.08,83.0,40.0,4.6
cap malheureux,21.0,-19.98,88.0,75.0,7.7
cape town,10.0,-33.93,100.0,90.0,3.1
caravelas,23.73,-17.73,100.0,44.0,5.22
carnarvon,1.88,-30.97,52.0,88.0,1.22
carutapera,25.73,-1.2,84.0,0.0,4.32
